group_number,day,batch_number,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1,Tuesday,3,67832.0,for_sale,225000.0,4.0,2.0,0.14,1810539.0,Springfield,Massachusetts,1104.0,1399.0,2007-07-09
1,Tuesday,3,58796.0,for_sale,190000.0,6.0,2.0,0.14,1548218.0,Springfield,Massachusetts,1108.0,2508.0,2009-12-17
1,Tuesday,3,71852.0,for_sale,250000.0,6.0,2.0,0.62,127505.0,Russell,Massachusetts,1071.0,2520.0,2016-08-12
1,Tuesday,3,22700.0,for_sale,284999.0,4.0,3.0,0.12,763593.0,Springfield,Massachusetts,1104.0,1360.0,2014-03-31
1,Tuesday,3,570.0,for_sale,179900.0,3.0,2.0,0.95,1830858.0,North Adams,Massachusetts,1247.0,1200.0,2009-05-28
1,Tuesday,3,41392.0,for_sale,249000.0,3.0,2.0,0.37,118255.0,North Adams,Massachusetts,1247.0,1440.0,1989-03-15
1,Tuesday,3,88638.0,for_sale,185000.0,4.0,1.0,0.28,1690206.0,North Adams,Massachusetts,1247.0,1357.0,2006-01-12
1,Tuesday,3,37186.0,for_sale,85000.0,3.0,2.0,0.14,871677.0,North Adams,Massachusetts,1247.0,1525.0,1987-08-26
1,Tuesday,3,12108.0,for_sale,179500.0,3.0,2.0,4.0,334304.0,Hubbardston,Massachusetts,1452.0,2284.0,1994-11-28
1,Tuesday,3,22700.0,for_sale,180000.0,4.0,4.0,0.23,1230011.0,Ware,Massachusetts,1082.0,2145.0,1990-03-05
1,Tuesday,3,19604.0,for_sale,169900.0,4.0,2.0,0.08,1563764.0,Ware,Massachusetts,1082.0,1884.0,2000-10-25
1,Tuesday,3,1291.0,for_sale,229900.0,5.0,4.0,0.16,847911.0,Ware,Massachusetts,1082.0,4341.0,2006-05-04
1,Tuesday,3,51291.0,for_sale,300000.0,3.0,1.0,3.06,185197.0,Oakham,Massachusetts,1068.0,864.0,2002-04-12
1,Tuesday,3,12117.0,for_sale,179999.0,4.0,2.0,0.05,1821186.0,Ware,Massachusetts,1082.0,3396.0,2005-06-27
1,Tuesday,3,30188.0,for_sale,205000.0,4.0,2.0,0.35,329303.0,Ware,Massachusetts,1082.0,1965.0,2004-07-09
1,Tuesday,3,33592.0,for_sale,234900.0,4.0,1.0,0.85,371315.0,Ware,Massachusetts,1082.0,1921.0,2005-06-17
1,Tuesday,3,27648.0,for_sale,189000.0,4.0,2.0,0.15,1310885.0,Palmer,Massachusetts,1069.0,1922.0,2021-09-20
1,Tuesday,3,75469.0,for_sale,289900.0,6.0,2.0,0.56,1428529.0,West Brookfield,Massachusetts,1585.0,2976.0,1998-07-28
1,Tuesday,3,96714.0,for_sale,179900.0,4.0,1.0,0.24,870012.0,Pittsfield,Massachusetts,1201.0,1350.0,1996-01-31
1,Tuesday,3,10859.0,for_sale,219900.0,4.0,3.0,0.29,522247.0,Pittsfield,Massachusetts,1201.0,2511.0,2008-06-09
1,Tuesday,3,10859.0,for_sale,149900.0,3.0,2.0,0.08,1668840.0,Pittsfield,Massachusetts,1201.0,1120.0,2001-08-30
